n,ngram,support,errors,error_rate
3,ate,148,83,0.5608108108108109
3,ane,148,84,0.5675675675675675
3,ash,146,80,0.547945205479452
3,hat,145,94,0.6482758620689655
3,ing,141,83,0.5886524822695035
3,aha,139,80,0.5755395683453237
3,aal,135,49,0.362962962962963
3,aga,135,90,0.6666666666666666
3,riy,130,69,0.5307692307692308
3,aya,128,75,0.5859375
3,art,127,71,0.5590551181102362
3,naa,126,49,0.3888888888888889
3,maa,124,43,0.3467741935483871
3,tra,124,79,0.6370967741935484
3,yan,122,67,0.5491803278688525
3,ast,120,73,0.6083333333333333
3,ali,119,72,0.6050420168067226
3,ath,119,81,0.680672268907563
3,shi,118,76,0.6440677966101694
3,tar,118,76,0.6440677966101694
3,par,117,81,0.6923076923076923
3,vaa,117,57,0.48717948717948717
3,daa,117,75,0.6410256410256411
3,are,115,59,0.5130434782608696
3,apa,113,66,0.584070796460177
3,ach,112,67,0.5982142857142857
3,hal,112,65,0.5803571428571429
3,ksh,111,66,0.5945945945945946
3,esh,110,41,0.37272727272727274
3,tri,110,68,0.6181818181818182
3,hak,109,57,0.5229357798165137
3,tan,109,76,0.6972477064220184
3,gar,109,77,0.7064220183486238
3,ans,108,61,0.5648148148148148
3,laa,108,41,0.37962962962962965
3,awa,108,66,0.6111111111111112
3,nga,107,72,0.6728971962616822
3,ron,107,75,0.7009345794392523
3,pat,107,80,0.7476635514018691
3,aas,105,42,0.4
3,chh,102,46,0.45098039215686275
3,waa,101,51,0.504950495049505
3,adi,100,67,0.67
3,dhi,99,49,0.494949494949495
3,chi,99,71,0.7171717171717171
3,asa,98,55,0.5612244897959183
3,var,97,56,0.5773195876288659
3,hik,95,44,0.4631578947368421
3,ram,95,52,0.5473684210526316
3,hya,94,54,0.574468085106383
3,bad,93,74,0.7956989247311828
3,abh,93,48,0.5161290322580645
3,war,93,61,0.6559139784946236
3,ale,92,55,0.5978260869565217
3,aay,91,39,0.42857142857142855
3,ras,91,47,0.5164835164835165
3,dar,91,64,0.7032967032967034
3,hee,90,44,0.4888888888888889
3,nda,89,62,0.6966292134831461
3,ban,89,55,0.6179775280898876
3,ary,88,54,0.6136363636363636
3,rak,88,46,0.5227272727272727
3,ntr,88,53,0.6022727272727273
3,ano,88,47,0.5340909090909091
3,aro,87,60,0.6896551724137931
3,aon,86,42,0.4883720930232558
3,tiy,85,33,0.38823529411764707
3,ham,84,47,0.5595238095238095
3,lan,84,54,0.6428571428571429
3,sht,83,50,0.6024096385542169
3,tee,83,53,0.6385542168674698
3,asi,83,50,0.6024096385542169
3,ank,82,49,0.5975609756097561
3,baa,81,45,0.5555555555555556
3,arm,81,46,0.5679012345679012
3,dan,81,65,0.8024691358024691
3,pan,81,35,0.43209876543209874
3,aba,80,50,0.625
3,gan,80,53,0.6625
3,kan,79,55,0.6962025316455697
3,rit,78,49,0.6282051282051282
3,diy,76,48,0.631578947368421
3,jan,76,52,0.6842105263157895
3,ars,76,53,0.6973684210526315
3,ton,76,49,0.6447368421052632
3,aae,75,34,0.4533333333333333
3,saa,75,29,0.38666666666666666
3,sam,74,56,0.7567567567567568
3,she,74,36,0.4864864864864865
3,nee,73,42,0.5753424657534246
3,aks,73,44,0.6027397260273972
3,aam,73,30,0.410958904109589
3,ita,72,46,0.6388888888888888
3,mar,72,49,0.6805555555555556
3,ura,71,44,0.6197183098591549
3,ion,71,40,0.5633802816901409
3,nag,71,54,0.7605633802816901
3,nch,70,43,0.6142857142857143
3,sta,70,49,0.7
3,had,70,53,0.7571428571428571
3,kat,69,46,0.6666666666666666
3,sar,69,46,0.6666666666666666
3,ris,68,43,0.6323529411764706
3,thi,68,41,0.6029411764705882
3,son,68,44,0.6470588235294118
3,van,68,47,0.6911764705882353
3,akh,67,39,0.582089552238806
3,hit,67,34,0.5074626865671642
3,vas,66,43,0.6515151515151515
3,hai,66,37,0.5606060606060606
3,ind,66,43,0.6515151515151515
3,niy,66,35,0.5303030303030303
3,ndh,66,52,0.7878787878787878
3,rya,65,39,0.6
3,gaa,65,23,0.35384615384615387
3,hav,65,44,0.676923076923077
3,aye,65,49,0.7538461538461538
3,non,65,34,0.5230769230769231
3,str,64,39,0.609375
3,ist,63,43,0.6825396825396826
3,sth,63,27,0.42857142857142855
3,ard,63,47,0.746031746031746
3,ain,63,33,0.5238095238095238
3,avi,63,32,0.5079365079365079
3,rad,63,41,0.6507936507936508
3,ush,63,38,0.6031746031746031
3,gya,62,21,0.3387096774193548
3,hra,62,36,0.5806451612903226
3,has,62,41,0.6612903225806451
3,een,62,33,0.532258064516129
3,nik,62,28,0.45161290322580644
3,bar,62,42,0.6774193548387096
3,ter,62,33,0.532258064516129
3,ukh,61,40,0.6557377049180327
3,anc,61,49,0.8032786885245902
3,ade,61,46,0.7540983606557377
3,ula,61,33,0.5409836065573771
3,hin,61,46,0.7540983606557377
3,ent,61,39,0.639344262295082
3,mah,61,31,0.5081967213114754
3,ira,60,38,0.6333333333333333
3,nta,60,39,0.65
3,rta,60,29,0.48333333333333334
3,uda,60,45,0.75
3,atr,60,44,0.7333333333333333
3,ega,60,27,0.45
3,tro,59,35,0.5932203389830508
3,hoo,59,28,0.4745762711864407
3,paa,59,16,0.2711864406779661
3,nka,59,34,0.576271186440678
3,kon,59,30,0.5084745762711864
3,rah,59,34,0.576271186440678
3,oor,59,31,0.5254237288135594
3,gha,59,37,0.6271186440677966
3,tre,58,36,0.6206896551724138
3,iva,58,43,0.7413793103448276
3,tin,58,37,0.6379310344827587
3,dra,58,36,0.6206896551724138
3,shr,58,43,0.7413793103448276
3,nat,58,34,0.5862068965517241
3,lin,58,34,0.5862068965517241
3,hiy,57,36,0.631578947368421
3,aak,57,24,0.42105263157894735
3,raj,56,33,0.5892857142857143
3,aai,56,29,0.5178571428571429
3,muk,56,30,0.5357142857142857
3,aaj,56,23,0.4107142857142857
3,aen,56,23,0.4107142857142857
3,lat,56,30,0.5357142857142857
3,pha,56,38,0.6785714285714286
3,jee,56,22,0.39285714285714285
3,ill,56,38,0.6785714285714286
3,iti,55,38,0.6909090909090909
3,aja,55,35,0.6363636363636364
3,sin,55,35,0.6363636363636364
3,arn,55,30,0.5454545454545454
3,att,55,41,0.7454545454545455
3,mat,54,30,0.5555555555555556
3,ddh,54,31,0.5740740740740741
3,rth,54,39,0.7222222222222222
3,yak,54,30,0.5555555555555556
3,swa,54,35,0.6481481481481481
3,ers,54,37,0.6851851851851852
3,ima,53,34,0.6415094339622641
3,nan,53,30,0.5660377358490566
3,era,53,34,0.6415094339622641
3,hon,53,33,0.6226415094339622
3,dee,52,37,0.7115384615384616
3,hau,52,31,0.5961538461538461
3,yat,52,31,0.5961538461538461
3,anu,52,25,0.4807692307692308
3,kal,52,40,0.7692307692307693
3,ila,52,28,0.5384615384615384
3,pad,52,37,0.7115384615384616
3,alo,52,29,0.5576923076923077
3,rma,51,30,0.5882352941176471
3,oot,51,29,0.5686274509803921
3,vya,51,27,0.5294117647058824
3,rva,51,42,0.8235294117647058
3,nge,51,33,0.6470588235294118
3,mad,51,36,0.7058823529411765
3,liy,51,34,0.6666666666666666
3,jaa,51,26,0.5098039215686274
3,rav,51,27,0.5294117647058824
3,vis,51,30,0.5882352941176471
3,nti,51,31,0.6078431372549019
3,hna,51,34,0.6666666666666666
3,bal,51,35,0.6862745098039216
3,wan,50,40,0.8
3,wal,50,27,0.54
3,tio,50,26,0.52
3,lak,50,30,0.6
3,isa,49,32,0.6530612244897959
3,aav,49,19,0.3877551020408163
3,the,49,38,0.7755102040816326
3,air,49,30,0.6122448979591837
3,ich,49,31,0.6326530612244898
3,nar,49,36,0.7346938775510204
3,aao,48,21,0.4375
3,aee,48,30,0.625
3,hha,48,20,0.4166666666666667
3,ndr,48,34,0.7083333333333334
3,ipa,48,27,0.5625
3,rsh,48,37,0.7708333333333334
3,kta,48,25,0.5208333333333334
3,tta,48,29,0.6041666666666666
3,eda,47,38,0.8085106382978723
3,roo,47,27,0.574468085106383
3,anj,47,25,0.5319148936170213
3,ren,47,26,0.5531914893617021
3,dal,47,35,0.7446808510638298
3,gra,47,30,0.6382978723404256
3,all,47,35,0.7446808510638298
3,ikh,47,23,0.48936170212765956
3,dab,46,38,0.8260869565217391
3,hwa,46,21,0.45652173913043476
3,tak,46,34,0.7391304347826086
3,idh,46,27,0.5869565217391305
3,jha,46,28,0.6086956521739131
3,ako,46,24,0.5217391304347826
3,aab,46,16,0.34782608695652173
3,aag,46,21,0.45652173913043476
3,nsh,46,28,0.6086956521739131
3,apu,45,27,0.6
3,rab,45,26,0.5777777777777777
3,tik,45,28,0.6222222222222222
3,end,45,31,0.6888888888888889
3,ina,44,24,0.5454545454545454
